
290;      4,0;  21,0;   18,0;      330,0;             269,0;
300;      7,0;  40,0;   48,0;      104,0;             271,0;
200;     7,0;   10,0;   21,0;      122,0;              51,0;
270;    5,0;    17,0;   40,0;       63,0;             526,0;
160;   396,0;  832,0;  1818,0;     6631,0;           19426,0;
120;     2,0;    3,0;    3,0;         3,0;              6,0;
310;     6,0;   58,0;  165,0;       483,0;            850,0;
210;     1,0;    2,0;   12,0;        25,0;            119,0;
230;     2,0;    1,0;    1,0;         0,3;              2,0;
240;    54,0;    3,0;    3,0;         3,7;              2,0;
170;     0,1;    4,0;    6,0;        19,0;             61,0;
320;    15,0;   29,0;   30,0;       117,0;            821,0;
